Estacao;Data;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media
83377;01/04/2018;3,40;26,90;18,50;6,60;77,25;1,71
83377;02/04/2018;11,70;24,50;19,10;0,80;88,25;0
83377;03/04/2018;4,10;27,90;17,60;6,10;78,50;1,37
83377;04/04/2018;48,20;25,90;19,40;2,50;89,50;0
83377;05/04/2018;9,20;27,20;17,70;4,80;85,50;0
83377;06/04/2018;0,80;26,50;18,50;4,60;89,50;0,69
83377;07/04/2018;36,80;26,30;17,50;3,80;84,75;2,06
83377;08/04/2018;0,10;26,20;18,80;2,60;92,25;1,71
83377;09/04/2018;9,50;25,80;17,60;2,80;80,25;3,09
83377;10/04/2018;0,30;25,10;17,80;8,90;78,25;2,06
83377;11/04/2018;0;25,60;18,10;9,10;74,50;4,37
83377;12/04/2018;0;23,80;16,10;4,40;75,50;3,77
83377;13/04/2018;0;25,20;17,80;5,80;79,50;3,09
83377;14/04/2018;6;22,80;17,40;1,10;83;2,06
83377;15/04/2018;0;25,60;17,70;2,30;81,75;3,43
83377;16/04/2018;50,20;25,40;16,90;4,60;78,25;0,34
83377;17/04/2018;0;22,20;17,50;1;83,75;5,66
83377;18/04/2018;0;20,70;16,50;0,30;81,75;3,09
83377;19/04/2018;0;25,20;15,90;8;72;1,71
83377;20/04/2018;0;24;15,80;3,30;74,75;0,69
83377;21/04/2018;0;26,20;15,80;7,70;75;1,03
83377;22/04/2018;0;25,80;16;7,60;77,50;0
83377;23/04/2018;2,70;26,50;17,70;8,50;73,50;1,71
83377;24/04/2018;17,20;26,40;17,40;9,80;65,25;3,09
83377;25/04/2018;0;26;17,60;9,60;72,25;2,06
83377;26/04/2018;0;27;16,50;8,70;70,25;1,03
83377;27/04/2018;18,70;26,60;16,40;8,30;64,50;2,74
83377;28/04/2018;0;26,60;17,20;9,70;63,75;5,14
83377;29/04/2018;0;26,40;17;9;63,50;3,09
83377;30/04/2018;0;26;15,70;9,40;60;1,03
83377;01/05/2018;0;26,40;15,20;9,40;56;1,71
83377;02/05/2018;0;26,40;14,10;9,70;57,25;2,40
83377;03/05/2018;0;27,70;15,50;9,80;63,75;2,74
83377;04/05/2018;0;26,90;16,90;9,60;67,50;2,06
83377;05/05/2018;0;26,10;16;9,70;59,50;1,37
83377;06/05/2018;0;25,80;11,60;9,90;65,50;2,74
83377;07/05/2018;0;26,30;14,90;9,70;58;3,09
83377;08/05/2018;0;25,40;16,10;9,40;61,75;2,74
83377;09/05/2018;0;24,70;16,10;9,60;64;3,77
83377;10/05/2018;0;24,60;15,60;6,80;64,75;3,43
83377;11/05/2018;0;25,80;17,20;7,80;62;0,69
83377;12/05/2018;0;27;13,60;8,50;60;0,69
83377;13/05/2018;0;27,10;13,80;9,40;57,75;0,69
83377;14/05/2018;0;26,70;14,40;9,10;63;2,74
83377;15/05/2018;0;26,50;16,60;9,10;61,25;2,74
83377;16/05/2018;0;27,10;14,10;7,90;63,75;1,71
83377;17/05/2018;0;25,60;14,80;5,10;68;1,03
83377;18/05/2018;0;26,40;16,40;7,50;67,25;2,74
83377;19/05/2018;0;27,30;15,60;5,20;76,75;2,06
83377;20/05/2018;10,90;22,70;14,50;4,30;83,25;0,69
83377;21/05/2018;0;25,60;9,30;8,90;65,25;1,03
83377;22/05/2018;0;26,20;12;8,90;54,75;1,37
83377;23/05/2018;0;26,60;13,70;7,50;60;2,06
83377;24/05/2018;0;25,60;13,80;8,30;48,25;3,43
83377;25/05/2018;0;24,30;16,30;5,80;75,25;3,43
83377;26/05/2018;0;24,10;14,80;9;64,50;3,43
83377;27/05/2018;0;23;14,40;7,20;71,75;3,77
83377;28/05/2018;0;22,30;13,90;8,50;72,25;4,46
83377;29/05/2018;0;23,50;14;6,70;68,25;4,46
83377;30/05/2018;0;23,30;13,80;8,40;63,25;1,37
83377;31/05/2018;0;24,70;11,50;9,20;54,75;1,37
83377;01/06/2018;0;25,40;11,10;8,20;61,50;1,37
83377;02/06/2018;0;25,60;11,70;9,10;56,50;1,03
83377;03/06/2018;0;25,80;12,70;8,70;55;2,74
83377;04/06/2018;0;26,40;13;8,80;60;2,40
83377;05/06/2018;0;26,90;15,30;8,50;65,75;2,06
83377;06/06/2018;0;27,10;14,30;5;68;0,69
83377;07/06/2018;0;28,30;15,10;8,50;63,25;0,69
83377;08/06/2018;0;27,70;15,70;8,70;66,50;1,03
83377;09/06/2018;0;27,30;14,80;8,30;60,75;2,06
83377;10/06/2018;0;26,80;17,50;9;61,25;2,74
83377;11/06/2018;0;25,80;17,10;8,50;65;1,71
83377;12/06/2018;0;27,10;14,80;8;60,50;1,71
83377;13/06/2018;0;27,20;15,30;8,60;59,75;1,03
83377;14/06/2018;0;27,30;13,40;9,10;55,50;2,06
83377;15/06/2018;0;26,20;13,60;8,90;50,50;2,06
83377;16/06/2018;0;25,10;13,20;8,60;56,75;2,40
83377;17/06/2018;0;24,90;11,60;8,80;55,75;2,40
83377;18/06/2018;0;23,60;12,80;9;54,75;2,06
83377;19/06/2018;0;23,40;13,20;0;55;4,12
83377;20/06/2018;0;24,30;14,70;7,90;61,75;4,46
83377;21/06/2018;0;25;14,60;7,40;58,75;2,74
83377;22/06/2018;0;25,90;12,30;8,60;57,25;2,74
83377;23/06/2018;0;25,40;14,10;9;46;1,71
83377;24/06/2018;0;25,20;11,30;8,90;44;2,74
83377;25/06/2018;0;25,80;11,70;9,20;44;3,09
83377;26/06/2018;0;26,10;14,40;7,90;49,25;1,71
83377;27/06/2018;0;25,80;14;9,10;43,50;2,40
83377;28/06/2018;0;25,20;13;9;42,50;4,12
83377;29/06/2018;0;24,20;13;8,90;53,25;2,40
83377;30/06/2018;0;24,70;10,50;5,60;58,75;2,06
83377;01/07/2018;0;25,80;12,20;9,90;49,75;1,03
83377;02/07/2018;0;26,20;12,80;8,80;53;1,71
83377;03/07/2018;0;26,30;12,10;7,80;47,75;1,71
83377;04/07/2018;0;25,80;12,20;7,80;43;2,06
83377;05/07/2018;0;24,60;12,50;8,90;42;2,40
83377;06/07/2018;0;24,80;11;8,40;43,25;3,09
83377;07/07/2018;0;27;14,90;7,90;55,50;1,03
83377;08/07/2018;0;28,60;12,80;8,80;53,75;1,71
83377;09/07/2018;0;28,60;13,10;9;49,75;1,71
83377;10/07/2018;0;27,40;13,90;8,70;57;1,37
83377;11/07/2018;0;25,40;13,20;8,10;58,25;0,69
83377;12/07/2018;0;26,90;13,40;8,50;59;1,37
83377;13/07/2018;0;26,80;13;8,30;54,50;1,71
83377;14/07/2018;0;25,90;12,90;8,40;50,50;2,40
83377;15/07/2018;0;26,10;12,80;9,30;45,50;3,09
83377;16/07/2018;0;24,90;14,90;8,20;56;3,09
83377;17/07/2018;0;24,90;14,10;8,60;53,75;4,46
83377;18/07/2018;0;23,40;15,10;4,80;65,25;2,74
83377;19/07/2018;0;25,30;;8,80;46,25;4,46
83377;20/07/2018;0;25,40;14;9;55;2,74
